Id,SalePrice
1461,127220.24278336503
1462,150719.193979735
1463,179564.66990441727
1464,196954.07340057325
1465,176209.6426834031
1466,172648.5148940449
1467,169842.11070562215
1468,174076.35693593312
1469,168560.98998844821
1470,131189.3763337276
1471,169715.5704978742
1472,110498.03203664185
1473,110265.63373166518
1474,142038.90477538283
1475,129613.28571037219
1476,273577.3447481933
1477,233590.35146815702
1478,221952.6186327437
1479,221485.01005648545
1480,255912.0506376494
1481,234884.41426462829
1482,207057.72156331278
1483,176962.78406944865
1484,178326.91103767476
1485,182793.8551780421
1486,185587.97005811508
1487,243984.21675858885
1488,192424.31323500082
1489,205996.4880921944
1490,191667.1380325932
1491,187465.82731745197
1492,94856.29810441776
1493,175892.8184209662
1494,230497.89592579333
1495,222687.5196865497
1496,184224.6714106223
1497,162223.9854617178
1498,159691.17448698918
1499,153389.4367142859
1500,164203.17582783967
1501,164051.47513562054
1502,160841.08940024595
1503,260411.15427510953
1504,201029.60763089577
1505,192630.3742982866
1506,159688.1234490886
1507,190626.32844715798
1508,164453.18263458673
1509,145707.01136068074
1510,155431.74788198704
1511,145963.4035610353
1512,152450.93900180748
1513,136780.74547972216
1514,146301.04332587292
1515,155797.20057252524
1516,144766.45084842388
1517,165517.31414853683
1518,128840.22188321095
1519,197805.35639695023
1520,138623.67058920523
1521,140686.07877364245
1522,159673.16889235188
1523,117771.35749214693
1524,120418.3055968166
1525,129566.25559678632
1526,119774.01637278718
1527,124973.7783988088
1528,132658.10948898926
1529,140477.93037818864
1530,165307.92113199184
1531,131354.15128091918
1532,104985.9665193119
1533,130739.55412843011
1534,121654.34121600089
1535,150239.83038344642
1536,114450.72295459388
1537,95264.33122637645
1538,136137.99598711063
1539,164606.36267219085
1540,89349.94881034776
1541,136153.20524736683
1542,125646.85788649331
1543,136245.17913446279
1544,96985.24066551059
1545,115107.44446418004
1546,130185.93609288317
1547,126797.86100386
1548,121421.65644485576
1549,127401.4197706556
1550,116379.32974609363
1551,113677.11497548877
1552,116157.86322004262
1553,148378.83278277793
1554,128407.06559302086
1555,156430.60936836147
1556,113500.80093990438
1557,102687.47591484223
1558,116292.8884749683
1559,98068.4377284409
1560,132464.0220691785
1561,120348.80912700012
1562,151177.0609317859
1563,132006.0869764705
1564,138696.94556832613
1565,153598.10080299983
1566,185617.51750370918
1567,97072.1555169023
1568,206863.82833864188
1569,132351.4098239763
1570,153104.17593725605
1571,124929.13798794294
1572,139808.37712057837
1573,222587.73233046386
1574,128075.56503254706
1575,198170.54473706457
1576,219118.06431621863
1577,224937.76110257136
1578,147253.3720419262
1579,160865.2444577248
1580,180859.21384142767
1581,169065.03876814723
1582,125274.86239095447
1583,215446.54926074276
1584,193364.1317885169
1585,158155.989290637
1586,108528.63954658933
1587,122787.40639581687
1588,141370.44083437338
1589,107773.44792081854
1590,137183.37135619918
1591,112624.15253078136
1592,116990.44576179981
1593,125974.39183204412
1594,118276.50758258197
1595,125042.0171086229
1596,174263.3397123171
1597,166230.4345349317
1598,194033.6582726165
1599,170746.9709167165
1600,169643.21763191317
1601,96180.03821891035
1602,125094.87784951263
1603,94468.58392248077
1604,212570.58811588588
1605,194658.0955383029
1606,154541.02967046536
1607,145822.94861692766
1608,231084.10672632407
1609,200606.140970143
1610,173889.27140842538
1611,141974.46502563098
1612,160827.37596692942
1613,164998.51148314367
1614,129643.72813722373
1615,107369.72299602535
1616,102132.24157619431
1617,112529.95988493733
1618,136277.81284481887
1619,148405.36756936664
1620,152248.18847757144
1621,143082.5318448672
1622,139328.08302662958
